Fecha,Mes,Punto de Muestreo,Analito,Resultado numérico,Cumplimiento,,AÑO,Analito (Limpio),,,Muestras Totales,168
26/01/2026,enero,Sector producción granolas (frente las pailas),"Aerobios mesófilos totales
(ufc/placa)",5,Dentro de límite,5,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",5,Dentro de límite,5,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",4,Dentro de límite,4,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",4,Dentro de límite,4,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Sector preparación de insumos ,"Hongos y Levaduras
(ufc/placa)",69,Dentro de límite,69,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Sector producción granolas (frente las pailas),"Hongos y Levaduras
(ufc/placa)",87,Dentro de límite,87,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Enfriador granolas,"Hongos y Levaduras
(ufc/placa)",40,Dentro de límite,40,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Sector envasado granel,"Hongos y Levaduras
(ufc/placa)",82,Dentro de límite,82,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Sector envasado retail ,"Hongos y Levaduras
(ufc/placa)",49,Dentro de límite,49,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Sector producción grageados,"Hongos y Levaduras
(ufc/placa)",39,Dentro de límite,39,2026,Hongos y Levaduras (ufc/placa),,,,
10/2/2026,febrero,Sector preparación de insumos ,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Sector producción granolas (frente las pailas),"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",4,Dentro de límite,4,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Sector preparación de insumos ,"Hongos y Levaduras
(ufc/placa)",18,Dentro de límite,18,2026,Hongos y Levaduras (ufc/placa),,,,
10/2/2026,febrero,Sector producción granolas (frente las pailas),"Hongos y Levaduras
(ufc/placa)",17,Dentro de límite,17,2026,Hongos y Levaduras (ufc/placa),,,,
10/2/2026,febrero,Enfriador granolas,"Hongos y Levaduras
(ufc/placa)",0,Dentro de límite,0,2026,Hongos y Levaduras (ufc/placa),,,,
10/2/2026,febrero,Sector envasado granel,"Hongos y Levaduras
(ufc/placa)",41,Dentro de límite,41,2026,Hongos y Levaduras (ufc/placa),,,,
10/2/2026,febrero,Sector envasado retail ,"Hongos y Levaduras
(ufc/placa)",28,Dentro de límite,28,2026,Hongos y Levaduras (ufc/placa),,,,
10/2/2026,febrero,Sector producción grageados,"Hongos y Levaduras
(ufc/placa)",60,Dentro de límite,60,2026,Hongos y Levaduras (ufc/placa),,,,
24/02/2026,febrero,Sector preparación de insumos ,"Aerobios mesófilos totales
(ufc/placa)",2,Dentro de límite,2,2026,Aerobios mesófilos totales (ufc/placa),,,,
24/02/2026,febrero,Sector producción granolas (frente las pailas),"Aerobios mesófilos totales
(ufc/placa)",3,Dentro de límite,3,2026,Aerobios mesófilos totales (ufc/placa),,,,
24/02/2026,febrero,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",3,Dentro de límite,3,2026,Aerobios mesófilos totales (ufc/placa),,,,
24/02/2026,febrero,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",4,Dentro de límite,4,2026,Aerobios mesófilos totales (ufc/placa),,,,
24/02/2026,febrero,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",4,Dentro de límite,4,2026,Aerobios mesófilos totales (ufc/placa),,,,
24/02/2026,febrero,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",2,Dentro de límite,2,2026,Aerobios mesófilos totales (ufc/placa),,,,
24/02/2026,febrero,Sector preparación de insumos ,"Hongos y Levaduras
(ufc/placa)",17,Dentro de límite,17,2026,Hongos y Levaduras (ufc/placa),,,,
24/02/2026,febrero,Sector producción granolas (frente las pailas),"Hongos y Levaduras
(ufc/placa)",19,Dentro de límite,19,2026,Hongos y Levaduras (ufc/placa),,,,
24/02/2026,febrero,Enfriador granolas,"Hongos y Levaduras
(ufc/placa)",2,Dentro de límite,2,2026,Hongos y Levaduras (ufc/placa),,,,
24/02/2026,febrero,Sector envasado granel,"Hongos y Levaduras
(ufc/placa)",17,Dentro de límite,17,2026,Hongos y Levaduras (ufc/placa),,,,
24/02/2026,febrero,Sector envasado retail ,"Hongos y Levaduras
(ufc/placa)",34,Dentro de límite,34,2026,Hongos y Levaduras (ufc/placa),,,,
24/02/2026,febrero,Sector producción grageados,"Hongos y Levaduras
(ufc/placa)",11,Dentro de límite,11,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Sector preparación de insumos ,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,MNPC,2026,Aerobios mesófilos totales (ufc/placa),,,,
5/3/2026,marzo,Sector producción granolas (frente las pailas),"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,MNPC,2026,Aerobios mesófilos totales (ufc/placa),,,,
5/3/2026,marzo,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,MNPC,2026,Aerobios mesófilos totales (ufc/placa),,,,
5/3/2026,marzo,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,MNPC,2026,Aerobios mesófilos totales (ufc/placa),,,,
5/3/2026,marzo,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,MNPC,2026,Aerobios mesófilos totales (ufc/placa),,,,
5/3/2026,marzo,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
5/3/2026,marzo,Sector preparación de insumos ,"Hongos y Levaduras
(ufc/placa)",61,Dentro de límite,61,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Sector producción granolas (frente las pailas),"Hongos y Levaduras
(ufc/placa)",36,Dentro de límite,36,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Enfriador granolas,"Hongos y Levaduras
(ufc/placa)",7,Dentro de límite,7,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Sector envasado granel,"Hongos y Levaduras
(ufc/placa)",31,Dentro de límite,31,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Sector envasado retail ,"Hongos y Levaduras
(ufc/placa)",26,Dentro de límite,26,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Sector producción grageados,"Hongos y Levaduras
(ufc/placa)",12,Dentro de límite,12,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Sector preparación de insumos ,"Aerobios mesófilos totales
(ufc/placa)",118,Fuera de límite,118,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Sector producción granolas (frente las pailas),"Aerobios mesófilos totales
(ufc/placa)",104,Fuera de límite,104,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",109,Fuera de límite,109,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",97,Dentro de límite,97,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Sector preparación de insumos ,"Hongos y Levaduras
(ufc/placa)",42,Dentro de límite,42,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Sector producción granolas (frente las pailas),"Hongos y Levaduras
(ufc/placa)",22,Dentro de límite,22,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Enfriador granolas,"Hongos y Levaduras
(ufc/placa)",8,Dentro de límite,8,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Sector envasado granel,"Hongos y Levaduras
(ufc/placa)",30,Dentro de límite,30,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Sector envasado retail ,"Hongos y Levaduras
(ufc/placa)",15,Dentro de límite,15,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Sector producción grageados,"Hongos y Levaduras
(ufc/placa)",0,Dentro de límite,0,2026,Hongos y Levaduras (ufc/placa),,,,
